STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,city,city_name,NAME_acs,population,poverty_universe,poverty_below,poverty_rate,acs_year,state,county,tract,tract_area_km2,lst_c,hi_c,hi_minus_lst,air_temp_c,rh_pct,analysis_ready,lst_hot_q75,hi_hot_q75,mismatch_class,priority_flag,lst_summer_mean_c,hi_summer_mean_c,_ae_rowid,city_slug,city_label,alphaearth_year,alphaearth_collection,source_vector_path,source_vector_layer,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63
25,025,091300,25025091300,1400000US25025091300,913,Census Tract 913,G5020,S,262560,0,+42.3199357,-071.0668701,boston,Boston,,,,,,,,,,0.26253811363091706,33.21751893939397,20.903050732267108,-12.314468207126867,20.903050732267104,78.3041104861369,True,True,True,Both LST and HI hotspot,False,33.21751893939397,20.903050732267108,0,boston,Boston,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/boston/boston_master_lst_hi_hotcompare.gpkg,master_lst_hi_hotcompare,0.04867908503161098,-0.29804609995031967,0.02853149570257924,-0.07788949619177642,0.06793034836923047,-0.1895792562880085,-0.09154162419226586,-0.14979351561365298,-0.12376416275321755,-0.05449978283512796,0.09829604552675424,0.005963423116392526,-0.12444849907987744,-0.20707982599371313,-0.20275777079490032,-0.07455197433336759,0.06199494431342513,0.20239620597726496,-0.04828122763844677,0.05562967889917323,0.026138162282124698,-0.014772917447182935,-0.163497573528753,-0.024864091565016403,-0.06128578228173388,0.2626592773045791,0.011561105650560384,0.025240087590415218,0.05864737735831927,-0.015414245320088572,-0.009341159174547042,-0.025043086571958924,-0.036505412688485436,-0.08996934585837789,0.1372757645731924,-0.11652185885661563,-0.1548457789665523,-0.046861982341687536,0.049072815885880104,0.058475794382745354,-0.15146919832027655,-0.09630275783611937,0.06968886060278842,0.034880518810962866,0.18109415187122174,0.09845501287390684,-0.01517816881097929,0.03607462792394176,0.23222003030821764,-0.07993959128234122,-0.020737859362913138,0.06315332270274826,-0.17607166055675158,0.0403096068104376,0.217337520309499,-0.13225621457873077,0.17309263536342626,0.10945616391276161,0.008451997592295002,-0.028685896670785565,0.0809255710433378,-0.02962679241913042,-0.2293843548132449,0.061743175468256285
25,025,110501,25025110501,1400000US25025110501,1105.01,Census Tract 1105.01,G5020,S,647837,0,+42.2821618,-071.1414485,boston,Boston,,,,,,,,,,0.6478160433420126,31.27482037570276,20.90463058179746,-10.370189793905302,20.904630581797456,78.29240799026775,True,False,True,HI-only hotspot,True,31.27482037570276,20.90463058179746,1,boston,Boston,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/boston/boston_master_lst_hi_hotcompare.gpkg,master_lst_hi_hotcompare,-0.0002685333001829806,-0.28678416872212176,0.02109403575317668,0.02327274901777436,0.09521706624960878,-0.1557883520075232,-0.10098514872119274,-0.08199171876618871,-0.02683187466983332,-0.13858432780139546,0.13583008320229087,-0.034896692774499104,-0.15110597698693548,-0.20217103299011494,-0.19058793625841888,0.03405814661946854,-0.017821122129132436,0.19830106880511253,-0.038052657593203955,0.04757027263501197,-0.0019162867272721025,-0.013825436791691395,-0.12776659108894348,-0.008889644617760097,-0.0029101308356709087,0.2881714290222626,-0.0005407690454450968,-0.014069789493824085,0.044616375688086664,-0.05037282705249403,-0.07068030339043632,0.01707306492128777,-0.09749360688540602,0.004066207485935394,0.17166618147706286,-0.09807207740567732,-0.09831347415407483,-0.11061579117596185,0.025767698449944153,0.05010876116378869,-0.1512835224583803,-0.10112761590028721,0.16248775856079248,0.07874505183505845,0.17326704323210063,0.08670776329423201,0.03748366257346671,-0.020148677678284307,0.24701801313097463,-0.17071931040254643,0.00823166178347442,0.01044326331676228,-0.15401125937344465,0.09660181931132178,0.21748510089160503,-0.10731604629284436,0.22646352315983856,0.10757368955307141,-0.02218466293786191,-0.03188783509952536,0.09130794276751686,0.015914646702351574,-0.162589439261277,0.019388151542921162
25,025,030500,25025030500,1400000US25025030500,305,Census Tract 305,G5020,S,191230,294934,+42.3675671,-071.0515811,boston,Boston,,,,,,,,,,0.48611286902514544,31.982275449101827,20.875672484135297,-11.187295257800217,20.875672484135293,78.21445793342082,True,False,False,Neither hotspot,False,31.982275449101827,20.875672484135297,2,boston,Boston,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/boston/boston_master_lst_hi_hotcompare.gpkg,master_lst_hi_hotcompare,0.010734242849272047,-0.2825506826824512,-0.08370679795023678,-0.12702621626654473,-0.005650642816904885,-0.12668076215299712,-0.05213809808536865,-0.04706247362512262,-0.07677488125575309,-0.0097268578200152,0.1433790994359021,-0.07573856217024823,-0.03728002604032151,-0.20756819499216217,-0.0362185014834839,-0.07375246205896821,0.08643871708336091,0.07808261243963849,-0.100171350153673,0.04803384408856732,0.0413987183505794,0.013027306124601125,-0.13861636867080399,0.10024968852769618,-0.141307533157065,0.09062125220797537,-0.0419905994322939,-0.0878127399958984,0.14977121602028573,-0.023074708560329792,-0.07711861329502082,0.10484434260205347,0.0018009083799875125,-0.0989705182192554,-0.017839874711057253,-0.03366105003239973,0.004884602332939995,-0.053211760998706045,0.023595737701902767,0.12699622811829675,-0.1440344895972267,-0.1388866721779143,0.1252115379216343,0.06202637141593725,0.0878746755923018,0.22203434431437313,-0.06868479980240785,0.0803891850869521,0.07999935619078981,-0.08061564777973262,-0.062002031047209104,0.10253181763126284,-0.1848348199905991,0.04985063882166617,0.13485971055744342,-0.07067694607258984,0.05547273687849656,0.17025780886807723,0.05167783793358699,-0.045900161318241865,0.015661802690896186,-0.1633790571971376,-0.10203372436689728,0.18160253206560148
25,025,010500,25025010500,1400000US25025010500,105,Census Tract 105,G5020,S,193266,6725,+42.3444618,-071.0843482,boston,Boston,,,,,,,,,,0.19997740779258785,32.23039215686278,20.899427140602604,-11.330965016260174,20.899427140602597,78.29224470710096,True,False,False,Neither hotspot,False,32.23039215686278,20.899427140602604,3,boston,Boston,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/boston/boston_master_lst_hi_hotcompare.gpkg,master_lst_hi_hotcompare,0.08435156131699131,-0.2834328835512022,0.05048948736986512,-0.1273067486354649,0.04662149580352941,-0.22904312704238258,-0.027886080209652584,-0.13147621071450552,-0.19283333695460583,-0.032261672053508335,0.0806498236242446,0.028207709603203096,-0.059668292157317386,-0.1728066980754792,-0.2040582260904029,-0.1258526554077864,0.08490572328258185,0.19568128485532466,-0.056554907794639495,0.060736046605883866,0.022872101826526794,-0.014282249776808585,-0.17873363002375417,-0.015154238145141151,-0.021010978716207825,0.21629519265969016,0.0026404007466164993,-0.0009416953721105609,0.11096589279774502,-0.01886122455329437,-0.003942352600406497,-0.03421575654752929,-0.05428823073278978,-0.08085733691854162,0.12111755057230036,-0.10875363601755342,-0.16846654265679856,-0.07648632176205447,0.07028454816705385,-0.03534320645727216,-0.15997671915596479,-0.09029110720125119,0.03321963358717072,0.0013486136956013957,0.14920121210419124,0.14602713314875482,-0.05306892469468659,0.08389586464651887,0.19915571543509758,-0.04135674430372035,-0.085197574491803,0.08028188444175742,-0.17640098007096197,0.03562905699608558,0.2073361403279316,-0.13544464454308772,0.137564458974757,0.0751035025343189,0.047212285079303855,-0.0638285012425089,0.06496383790294127,-0.06857929065283112,-0.18488614900687436,0.08584060401237693
25,025,140201,25025140201,1400000US25025140201,1402.01,Census Tract 1402.01,G5020,S,1322336,99765,+42.2375297,-071.1305801,boston,Boston,,,,,,,,,,1.4220438406499374,30.653996813371847,20.912908459345953,-9.741088354025889,20.91290845934595,77.69047310135781,True,False,True,HI-only hotspot,True,30.653996813371847,20.912908459345953,4,boston,Boston,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/boston/boston_master_lst_hi_hotcompare.gpkg,master_lst_hi_hotcompare,-0.033888298996954926,-0.24517662185599506,0.00434132095511394,-0.05448142713406165,0.02959387234603301,-0.2321558525612687,-0.09564896183998965,-0.11552899917277262,-0.11889890496033695,-0.08722168084190435,0.1266330116018005,-0.04294488155871107,-0.0958055599269164,-0.17032724594079407,-0.23399658071465212,-0.005807285717510733,-0.06549128501519497,0.15215901946618104,-0.09512476032537841,0.015431869157286367,-0.005493923951482231,-0.009521028357081211,-0.1857062981843471,-0.006487412394507216,-0.0490998335085442,0.18906835695105764,-0.012262935014353955,-0.007818202503154997,0.06971772177440146,-0.016967101116638513,-0.04329839485298886,-0.005029296447829313,-0.05688228598706367,-0.04110745416590493,0.06906900439287715,-0.047124124823189,-0.05781088973374926,-0.07798436479118381,0.03556500792812542,0.0015182527300548873,-0.10665076787204952,-0.06603764546939288,0.09918341003469977,0.06503153048783009,0.17917562929214131,0.12954051815672288,0.08498437376748137,-0.031905380907868416,0.2852908441068017,-0.1717930639633936,-0.060769036016073696,0.08710983132694479,-0.11347015096354718,0.044125688268134,0.17693339511927972,-0.05650634304205649,0.18845590705560486,0.08804707356811121,0.0061379114816792575,-0.055331508859564935,0.049725687785213954,-0.052787400032398846,-0.13168743338990457,0.03791803830509742
25,025,082100,25025082100,1400000US25025082100,821,Census Tract 821,G5020,S,370577,0,+42.3094485,-071.0872292,boston,Boston,,,,,,,,,,0.3705498438974957,31.261236559139814,20.903050732267108,-10.358185826872708,20.903050732267104,78.3041104861369,True,False,True,HI-only hotspot,True,31.261236559139814,20.903050732267108,5,boston,Boston,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/boston/boston_master_lst_hi_hotcompare.gpkg,master_lst_hi_hotcompare,0.021444403004572895,-0.2937885400968102,-0.015456404516731317,-0.014588773411031443,0.08451002630062819,-0.21500591231445693,-0.09128530935772997,-0.12080656861559011,-0.12229971718743,-0.09408165836120135,0.12030879213917789,-0.025357542493706132,-0.13453274168186147,-0.21015134011362516,-0.24566278306318046,-0.01497171130969604,-0.008264787345162934,0.19140046163333765,-0.04645765339503974,0.06888019522437477,-0.00029050138919795157,-0.03309247857480965,-0.16281238719116353,-0.02337044085455727,-0.013453796099830226,0.2562308408975558,0.009913497383743097,0.016318278641339376,0.030839591425096215,-0.03561213014559964,-0.06280829646529533,-0.018975184762863674,-0.06154159449029922,-0.011869985384037513,0.15729252501460145,-0.09570902939194154,-0.11816901923939052,-0.09985465680783287,0.03763874222191131,0.03865184555929107,-0.1493276191056038,-0.10235439712903806,0.13793860830997554,0.0692866098470355,0.1691579373863819,0.10110540628468838,0.015304638216667362,0.007736544023170828,0.24074349576488133,-0.15522778002923587,-0.02794017790584721,0.03330847792651346,-0.1294442129479369,0.054185818461926334,0.2039140595091282,-0.08989278649330665,0.22027925965131834,0.1279971285002972,-0.005910194395528987,-0.05263774221377561,0.09063916178316439,-0.020569487853948937,-0.17878522180379924,0.0634886285899155
25,025,050500,25025050500,1400000US25025050500,505,Census Tract 505,G5020,S,272242,0,+42.3708587,-071.0319250,boston,Boston,,,,,,,,,,0.27221160158468444,30.863260073260108,,,,,False,False,False,Missing,False,30.863260073260108,,6,boston,Boston,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/boston/boston_master_lst_hi_hotcompare.gpkg,master_lst_hi_hotcompare,-0.009620810212477888,-0.33475707292938933,0.01561313919104127,-0.041924186310793685,0.04683221317988543,-0.19062623389320468,-0.1413786608405397,-0.13476009658654628,-0.10453941440995124,-0.027636246663870878,0.07820324616698518,0.02264566079962663,-0.10052227524369178,-0.1873454994369589,-0.17843895750437005,-0.08292269115481184,0.0420535816809851,0.18352071090278066,-0.062002770071763476,0.06399618760681505,-0.018340400015106294,0.0319479825495139,-0.16466243457555188,0.03209041468694932,-0.08826687625799715,0.2465290844428539,0.044593560407375346,-0.014885568952723962,0.0956234287791365,-0.019372810759316173,-0.028077219757013164,-0.0034558350985858205,-0.07152813782629737,-0.10739514057028109,0.06887118721371882,-0.047181664234582414,-0.047862283266740385,-0.03135742494321286,0.046398128841621394,0.15009452324464262,-0.09052772539527992,-0.0594918219611371,0.0481359338737962,0.036091345522403284,0.19841581875559997,0.10737573097031308,0.01712467889049659,0.0364034712286195,0.2750604052054085,-0.11920637513916024,-0.08044646175895714,0.10895200728621185,-0.11785939864193563,0.06350695724256342,0.18963435774919923,-0.15959271946980388,0.15918473575439285,0.08396349575945768,-0.03926862911333272,-0.030857830726865692,0.06196798919769648,-0.02176043063960093,-0.14422448423988599,0.050460581807328264
25,025,101101,25025101101,1400000US25025101101,1011.01,Census Tract 1011.01,G5020,S,587566,0,+42.2848807,-071.0958793,boston,Boston,,,,,,,,,,0.5875306824932327,31.188623188405828,20.903050732267108,-10.285572456138718,20.903050732267104,78.3041104861369,True,False,True,HI-only hotspot,True,31.188623188405828,20.903050732267108,7,boston,Boston,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/boston/boston_master_lst_hi_hotcompare.gpkg,master_lst_hi_hotcompare,-0.021165995032983786,-0.25819227735848194,0.003293772393021174,-0.026865636191554014,0.04386752796490285,-0.21314592068450508,-0.09916925749300293,-0.10407239648775873,-0.07287986997333586,-0.11084897151735879,0.14181560215864286,-0.037312914665791036,-0.11082952228347273,-0.19090900156367954,-0.237266037598019,-0.005606910727627458,-0.05555465474832606,0.1640707932060096,-0.09480678275741833,0.03285965029723534,-0.008571298431917028,-0.010721434568380862,-0.16422368014750968,0.000793179730423872,-0.03126362895068272,0.2210332126262421,-0.009290459489983327,-0.009247983717550722,0.06488071480056165,0.015605593303315792,-0.05411917373651584,-0.015457865956862332,-0.05045167998207051,-0.029269692596524066,0.11241244835875214,-0.06390559438240573,-0.08671890800665574,-0.10227249205886907,0.040193385367006146,0.0018964096624062112,-0.13760144735432114,-0.0775222126697868,0.12699230285653487,0.07088314239021246,0.1730531222251526,0.10824002316966823,0.07038444701442108,-0.026250262776233105,0.270375122113706,-0.16971897468345093,-0.054783516525738415,0.0523975767749743,-0.1177081951435142,0.04721850599587302,0.1832832794284455,-0.05627120507582859,0.20283979851639838,0.08368354985518268,-0.01796267389155685,-0.023396051981648156,0.0698890985695344,-0.03391938688415001,-0.1422561539483537,0.045339858304976534
25,025,120600,25025120600,1400000US25025120600,1206,Census Tract 1206,G5020,S,257295,0,+42.3190999,-071.1088366,boston,Boston,,,,,,,,,,0.25728175174685847,30.415318352059955,20.903050732267108,-9.51226761979285,20.903050732267104,78.3041104861369,True,False,True,HI-only hotspot,True,30.415318352059955,20.903050732267108,8,boston,Boston,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/boston/boston_master_lst_hi_hotcompare.gpkg,master_lst_hi_hotcompare,0.021673078223793576,-0.3057876510226363,-7.738146528941166e-05,0.007780925541365738,0.06902758028663453,-0.20521502923437174,-0.11400135881900439,-0.06218622743592774,-0.07002188240994811,-0.08419633730315927,0.1385282681349336,-0.0428792339628204,-0.1429951864608182,-0.21589407288642043,-0.2058972735150977,-0.004663088963707976,-0.017272175715385207,0.18021136639774477,-0.06398435419222699,0.04843039310285262,-0.003635461117546737,-0.0039359674877205335,-0.15874188763863822,-0.009438625644928278,0.007434399036853189,0.28179976988711813,0.0056952582189861945,0.021252110952541346,0.032880980974751145,-0.0432006027125989,-0.06650620097518353,0.001502384133475973,-0.10687146034194489,-0.011843706401633354,0.1698544276574345,-0.11611709619229155,-0.10063927946968548,-0.09011916435098198,0.04765471105822562,0.022583674748253915,-0.18479296164348677,-0.10384737809515293,0.15246150004047854,0.06536991936507583,0.15672468143858936,0.11095309547056033,0.026564348087374012,-0.010253583333190321,0.25383102279786646,-0.13603950887013536,-0.02151690172367865,0.02346144239856506,-0.12592835129378163,0.07959382293271604,0.200917543797472,-0.10639355134143551,0.23611646134354125,0.12825621021975228,-0.04081330832171968,-0.015902441800766477,0.10076150314089062,-0.010610614955487652,-0.17277242124033876,0.04343437608765365
25,025,091700,25025091700,1400000US25025091700,917,Census Tract 917,G5020,S,288865,0,+42.3036084,-071.0659184,boston,Boston,,,,,,,,,,0.28883984311555927,32.165416666666694,20.903050732267108,-11.262365934399588,20.903050732267104,78.3041104861369,True,False,True,HI-only hotspot,True,32.165416666666694,20.903050732267108,9,boston,Boston,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/boston/boston_master_lst_hi_hotcompare.gpkg,master_lst_hi_hotcompare,0.03298218911644855,-0.3039002335606074,0.07578875576801106,-0.08101049144405122,0.035482504976585914,-0.17542616759788898,-0.11512037266885529,-0.15506281912725822,-0.04807160535057832,-0.13214080780524468,0.08445212853219067,0.007488689806548362,-0.15324888002149398,-0.1964487400358278,-0.17236787246390323,-0.004956881214785991,0.013873089994499948,0.22433057272225457,-0.021467914825895,0.03220894778987839,0.01135660395958368,0.038980509367157065,-0.1321761478741105,0.010049063696738381,-0.0808970640406992,0.24077332194626705,-0.016287628475436165,-0.029559433210061558,0.10611491017144518,0.007878652452460817,-0.012490252789231774,-0.02484503294814878,-0.10784127363437071,-0.06840443432855565,0.09531085754565914,-0.07763512430007004,-0.13347575999870295,-0.05415860269680706,0.026632704169848146,0.04086013815281857,-0.17804254674264955,-0.06874694895103195,0.06475841841429143,0.04621142202279825,0.20695525000089574,0.09177226428732917,0.0012658082744919962,0.019911031553177118,0.24285735844780473,-0.11173720103229261,-0.022770647105495596,0.020204763174034853,-0.18040586288978475,0.051282279607966046,0.19152988347633831,-0.12354415370234029,0.1649156234998704,0.10605153377058091,-0.009570759150511829,0.027353819987465573,0.0692102466905931,-0.013570717930143575,-0.21646686756850736,0.029082272463462067
